"","year","song","artist","speechiness","energy","danceability","acousticness"
"327","2012","Some Nights","fun.",0.0506,0.738,0.672,0.0178
"328","2012","Diamonds","Rihanna",0.0461,0.71,0.564,0.00125
"329","2012","Locked Out Of Heaven","Bruno Mars",0.0431,0.698,0.726,0.049
"330","2012","Die Young","Ke$ha",0.276,0.656,0.688,0.218
"331","2012","Skyfall","Adele",0.0282,0.552,0.346,0.417
"332","2013","Diamonds","Rihanna",0.0461,0.71,0.564,0.00125
"333","2013","Scream & Shout","will.i.am & Britney Spears",0.0696,0.685,0.772,0.019
"334","2013","Locked Out Of Heaven","Bruno Mars",0.0431,0.698,0.726,0.049
"335","2013","Gangnam Style","Psy",0.284,0.939,0.736,0.0055
"336","2013","I Knew You Were Trouble","Taylor Swift",0.0363,0.469,0.622,0.00454
"337","2013","Thrift Shop","Macklemore & Ryan Lewis",0.293,0.526,0.781,0.0619
"338","2013","Harlem Shake","Baauer",0.0483,0.794,0.452,0.0111
"339","2013","Stay","Rihanna & Mikky Ekko",0.0274,0.468,0.479,0.414
"340","2013","When I Was Your Man","Bruno Mars",0.0434,0.28,0.612,0.932
"341","2013","Just Give Me A Reason","Pink & Nate Ruess",0.0489,0.547,0.778,0.346
"342","2013","Mirrors","Justin Timberlake",0.0503,0.512,0.574,0.234
"343","2013","Can't Hold Us","Macklemore & Ryan Lewis",0.0786,0.922,0.641,0.0291
"344","2013","Get Lucky","Daft Punk & Pharrell Williams",0.0403,0.793,0.81,0.0378
